"state_full","median_household_income","share_unemployed_seasonal","share_population_in_metro_areas","share_population_with_high_school_degree","share_non_citizen","share_white_poverty","gini_index","share_non_white","share_voters_voted_trump","hate_crimes_per_100k_splc","avg_hatecrimes_per_100k_fbi","state_abbrev","confederate","population","elasticity","FIP","Year","HFR","HFR_se","universl","permit","Fem_FS_S","Male_FS_S","BRFSS","GALLUP","GSS","PEW","HuntLic","GunsAmmo","BackChk","PewQChng","BS1","BS2","BS3","pk_count","Number.of.participating.agencies","pop_covered","Agencies.submitting.incident.reports","incidents","pk_percap","fbi_2019_per100k"
"Georgia",49555,0.058,0.82,0.839,0.08,0.09,0.468,0.48,0.51,0.120420267,0.412011824,"GA","Yes",10214860,0.9,13,2016,0.377,0.028,"No","No",0.47266881,0.659380692,-9,-9,0.310039574,0.472257887,0.354964361,-0.916168074,-0.801951631,1,12,12,12,9,"495",9290789,50,102,8.81069344073242e-07,1.0978615486801
"Hawaii",71223,0.034,0.76,0.904,0.08,0.07,0.433,0.81,0.3,NA,NA,"HI","No",1431603,1.07,15,2016,0.091,0.032,"Yes","Yes",0.172413793,0.220689655,-9,-9,-9,0.249687765,0.089928685,-2.244039378,-1.695030301,1,12,12,12,1,"1",974902,1,41,6.98517675640523e-07,4.20555091691267
"Idaho",53438,0.042,0.7,0.884,0.04,0.11,0.433,0.16,0.59,0.124208173,1.891330529,"ID","No",1654930,1.12,16,2016,0.578,0.032,"No","No",0.43902439,0.665427509,-9,-9,-9,0.682871621,0.714829614,1.396697636,0.388481222,1,12,12,12,2,"106",1782402,9,24,1.20851032974204e-06,1.34649759145243
"Illinois",54916,0.054,0.9,0.864,0.07,0.07,0.465,0.37,0.39,0.195344549,1.044015798,"IL","No",12859995,1.01,17,2016,0.226,0.028,"No","Yes",0.151898734,0.416742493,-9,-9,0.254503164,0.290751749,0.334341167,-0.50122804,-0.611012002,1,12,12,12,2,"728",12125954,23,65,1.55521055801344e-07,0.536040298355082
"Indiana",48060,0.044,0.79,0.866,0.03,0.12,0.44,0.2,0.57,0.247008877,1.757356567,"IN","No",6619680,0.99,18,2016,0.424,0.028,"No","No",0.43814433,0.602380952,-9,-9,0.370503981,0.535434757,0.248126708,0.292802848,0.51166661,1,12,12,12,4,"214",3643904,23,75,6.04258816136127e-07,2.05823205002108
"Iowa",57810,0.036,0.6,0.914,0.03,0.09,0.427,0.15,0.52,0.454427421,0.561395565,"IA","No",3123899,1.08,19,2016,0.385,0.032,"Yes","Yes",0.205128205,0.568364611,-9,-9,-9,0.54858179,0.417568069,0.553875549,-1.657150216,1,12,12,12,1,"246",3135918,8,10,3.20112782135402e-07,0.318885889235624
"Kansas",53444,0.044,0.64,0.897,0.04,0.11,0.445,0.25,0.57,0.105152471,2.143986672,"KS","No",2911641,1,20,2016,0.423,0.028,"No","No",0.258928571,0.567164179,-9,-9,0.383091297,0.549434053,0.353712213,0.767175162,0.053005321,1,12,12,12,3,"377",2610898,53,78,1.0303468044309e-06,2.9874778715982
"Kentucky",42786,0.05,0.56,0.817,0.03,0.17,0.466,0.15,0.63,0.324396969,4.207889621,"KY","Yes",4425092,0.94,21,2016,0.525,0.028,"No","No",0.518292683,0.692567568,-9,-9,0.460908772,0.669965413,0.342384215,0.019444155,0.325196929,1,12,12,12,3,"410",4460061,67,146,6.77952006421561e-07,3.27349782884135
"Louisiana",42406,0.06,0.81,0.822,0.02,0.12,0.475,0.42,0.58,0.109733348,1.341169554,"LA","Yes",4670724,0.96,22,2016,0.523,0.028,"No","No",0.576687117,0.673151751,-9,-9,0.471968372,0.659391448,0.365110403,-0.74955713,0.59296949,1,12,12,12,4,"137",3536544,11,26,8.56398280009694e-07,0.735181012875847
"Maine",51710,0.044,0.54,0.902,NA,0.12,0.437,0.09,0.45,0.615574023,2.626610924,"ME","No",1329328,1.13,23,2016,0.477,0.032,"No","No",0.185185185,0.593023256,-9,-9,-9,0.620005443,0.410557932,0.590588766,0.681913432,1,12,12,12,0,"134",1344212,10,19,0,1.41346751851642
"Maryland",76165,0.051,0.97,0.89,0.08,0.06,0.443,0.5,0.35,0.37043897,1.324839538,"MD","No",6006401,0.96,24,2016,0.167,0.028,"Yes","Yes",0.208695652,0.481953291,-9,-9,0.187704536,0.238143123,0.131343064,-1.286889093,-1.347376737,1,12,12,12,3,"153",6045680,9,18,4.99467151793562e-07,0.297733257466488
"Massachusetts",63151,0.046,0.97,0.89,0.09,0.08,0.475,0.27,0.34,0.630810592,4.801899339,"MA","No",6794422,1.15,25,2016,0.09,0.028,"No","Yes",0.047945205,0.274226804,-9,-9,0.121486008,0.191845241,0.186968768,-1.660566837,-1.440060089,1,12,12,12,2,"360",6772985,83,388,2.94359108103677e-07,5.72864106446419
"Michigan",52005,0.05,0.87,0.879,0.04,0.09,0.451,0.24,0.48,0.403779375,3.200442266,"MI","No",9922576,1.07,26,2016,0.389,0.028,"Yes","Yes",0.295681063,0.590780809,-9,-9,0.36464852,0.518877494,0.431214054,0.184188838,-1.008194286,1,12,12,12,4,"638",9969410,188,434,4.03121124998186e-07,4.35331679607921
"Minnesota",67244,0.038,0.75,0.915,0.05,0.05,0.44,0.18,0.45,0.62747993,3.612411816,"MN","No",5489594,1.03,27,2016,0.391,0.028,"No","No",0.195121951,0.516351119,-9,-9,0.290008491,0.55815275,0.511176787,0.001093867,-0.173622543,1,12,12,12,0,"379",5533121,35,104,0,1.87959019873232
